taxonID,locality,countryCode,occurrenceStatus,source,references,decimalLatitude,decimalLongitude,year,month,language,license,rightsHolder,datasetID,institutionCode,datasetName,scientificName,kingdom,taxonRank,nomenclaturalCode,species
my_dataset_shortname:taxon:0e2c1967728cce35615ee933098c8d7e,Vama veche,RO,1,"Grigore, MN., Cojocariu, A. (2021). A Tentative List of Romanian Halophytes: Taxonomy, Distribution, and Ecology. In: Grigore, MN. (eds) Handbook of Halophytes. Springer, Cham.",https://doi.org/10.1007/978-3-030-57635-6_17,43.7517718,28.5712121,2021,1,my_language,my_license,my_rights_holder,my_dataset_doi,my_institution_code,my_dataset_title,Cakile maritima euxina,Plantae,infraspecificname,my_nomenclaturalCode,Cakile maritima
my_dataset_shortname:taxon:0e2c1967728cce35615ee933098c8d7e,"Sfantu Gheorghe, Sf. Gheorghe, Tulcea",RO,1,"Grigore, MN., Cojocariu, A. (2021). A Tentative List of Romanian Halophytes: Taxonomy, Distribution, and Ecology. In: Grigore, MN. (eds) Handbook of Halophytes. Springer, Cham.",https://doi.org/10.1007/978-3-030-57635-6_17,44.8959555,29.594684,2021,1,my_language,my_license,my_rights_holder,my_dataset_doi,my_institution_code,my_dataset_title,Cakile maritima euxina,Plantae,infraspecificname,my_nomenclaturalCode,Cakile maritima
my_dataset_shortname:taxon:0e2c1967728cce35615ee933098c8d7e,Jurilovca,RO,1,"Grigore, MN., Cojocariu, A. (2021). A Tentative List of Romanian Halophytes: Taxonomy, Distribution, and Ecology. In: Grigore, MN. (eds) Handbook of Halophytes. Springer, Cham.",https://doi.org/10.1007/978-3-030-57635-6_17,44.767766775887,28.913348856928,2021,1,my_language,my_license,my_rights_holder,my_dataset_doi,my_institution_code,my_dataset_title,Cakile maritima euxina,Plantae,infraspecificname,my_nomenclaturalCode,Cakile maritima
my_dataset_shortname:taxon:0e2c1967728cce35615ee933098c8d7e,Sulina,RO,1,"Grigore, MN., Cojocariu, A. (2021). A Tentative List of Romanian Halophytes: Taxonomy, Distribution, and Ecology. In: Grigore, MN. (eds) Handbook of Halophytes. Springer, Cham.",https://doi.org/10.1007/978-3-030-57635-6_17,45.133924454313,29.546659804482,2021,1,my_language,my_license,my_rights_holder,my_dataset_doi,my_institution_code,my_dataset_title,Cakile maritima euxina,Plantae,infraspecificname,my_nomenclaturalCode,Cakile maritima
my_dataset_shortname:taxon:b1ea83b3a91fcf1adbab0b8040a3dac6,Zadar,HR,1,"Kadereit, J. W., Arafeh, R., Somogyi, G., & Westberg, E. (2005). Terrestrial Growth and Marine Dispersal? Comparative Phylogeography of Five Coastal Plant Species at a European Scale. Taxon, 54(4), 861–876.",http://dx.doi.org/10.2307/25065473,44.06,15.15,2005,1,my_language,my_license,my_rights_holder,my_dataset_doi,my_institution_code,my_dataset_title,Cakile maritima,Plantae,species,my_nomenclaturalCode,Cakile maritima
my_dataset_shortname:taxon:b1ea83b3a91fcf1adbab0b8040a3dac6,Voroklini,CY,1,"Kadereit, J. W., Arafeh, R., Somogyi, G., & Westberg, E. (2005). Terrestrial Growth and Marine Dispersal? Comparative Phylogeography of Five Coastal Plant Species at a European Scale. Taxon, 54(4), 861–876.",http://dx.doi.org/10.2307/25065473,34.59,33.39,2005,1,my_language,my_license,my_rights_holder,my_dataset_doi,my_institution_code,my_dataset_title,Cakile maritima,Plantae,species,my_nomenclaturalCode,Cakile maritima
my_dataset_shortname:taxon:b1ea83b3a91fcf1adbab0b8040a3dac6,Hadarslev,DK,1,"Kadereit, J. W., Arafeh, R., Somogyi, G., & Westberg, E. (2005). Terrestrial Growth and Marine Dispersal? Comparative Phylogeography of Five Coastal Plant Species at a European Scale. Taxon, 54(4), 861–876.",http://dx.doi.org/10.2307/25065473,55.15,9.30,2005,1,my_language,my_license,my_rights_holder,my_dataset_doi,my_institution_code,my_dataset_title,Cakile maritima,Plantae,species,my_nomenclaturalCode,Cakile maritima
my_dataset_shortname:taxon:b1ea83b3a91fcf1adbab0b8040a3dac6,St. Andrews,GB,1,"Kadereit, J. W., Arafeh, R., Somogyi, G., & Westberg, E. (2005). Terrestrial Growth and Marine Dispersal? Comparative Phylogeography of Five Coastal Plant Species at a European Scale. Taxon, 54(4), 861–876.",http://dx.doi.org/10.2307/25065473,56.20,-2.47,2005,1,my_language,my_license,my_rights_holder,my_dataset_doi,my_institution_code,my_dataset_title,Cakile maritima,Plantae,species,my_nomenclaturalCode,Cakile maritima
my_dataset_shortname:taxon:b1ea83b3a91fcf1adbab0b8040a3dac6,Exmouth,GB,1,"Kadereit, J. W., Arafeh, R., Somogyi, G., & Westberg, E. (2005). Terrestrial Growth and Marine Dispersal? Comparative Phylogeography of Five Coastal Plant Species at a European Scale. Taxon, 54(4), 861–876.",http://dx.doi.org/10.2307/25065473,50.35,-3.23,2005,1,my_language,my_license,my_rights_holder,my_dataset_doi,my_institution_code,my_dataset_title,Cakile maritima,Plantae,species,my_nomenclaturalCode,Cakile maritima
my_dataset_shortname:taxon:b1ea83b3a91fcf1adbab0b8040a3dac6,Workington,GB,1,"Kadereit, J. W., Arafeh, R., Somogyi, G., & Westberg, E. (2005). Terrestrial Growth and Marine Dispersal? Comparative Phylogeography of Five Coastal Plant Species at a European Scale. Taxon, 54(4), 861–876.",http://dx.doi.org/10.2307/25065473,54.39,-3.34,2005,1,my_language,my_license,my_rights_holder,my_dataset_doi,my_institution_code,my_dataset_title,Cakile maritima,Plantae,species,my_nomenclaturalCode,Cakile maritima
my_dataset_shortname:taxon:b1ea83b3a91fcf1adbab0b8040a3dac6,Camber,GB,1,"Kadereit, J. W., Arafeh, R., Somogyi, G., & Westberg, E. (2005). Terrestrial Growth and Marine Dispersal? Comparative Phylogeography of Five Coastal Plant Species at a European Scale. Taxon, 54(4), 861–876.",http://dx.doi.org/10.2307/25065473,50.55,0.49,2005,1,my_language,my_license,my_rights_holder,my_dataset_doi,my_institution_code,my_dataset_title,Cakile maritima,Plantae,species,my_nomenclaturalCode,Cakile maritima
my_dataset_shortname:taxon:b1ea83b3a91fcf1adbab0b8040a3dac6,East Head,GB,1,"Kadereit, J. W., Arafeh, R., Somogyi, G., & Westberg, E. (2005). Terrestrial Growth and Marine Dispersal? Comparative Phylogeography of Five Coastal Plant Species at a European Scale. Taxon, 54(4), 861–876.",http://dx.doi.org/10.2307/25065473,50.46,-0.55,2005,1,my_language,my_license,my_rights_holder,my_dataset_doi,my_institution_code,my_dataset_title,Cakile maritima,Plantae,species,my_nomenclaturalCode,Cakile maritima
my_dataset_shortname:taxon:b1ea83b3a91fcf1adbab0b8040a3dac6,Grand Crohot Ocean,FR,1,"Kadereit, J. W., Arafeh, R., Somogyi, G., & Westberg, E. (2005). Terrestrial Growth and Marine Dispersal? Comparative Phylogeography of Five Coastal Plant Species at a European Scale. Taxon, 54(4), 861–876.",http://dx.doi.org/10.2307/25065473,44.49,-1.14,2005,1,my_language,my_license,my_rights_holder,my_dataset_doi,my_institution_code,my_dataset_title,Cakile maritima,Plantae,species,my_nomenclaturalCode,Cakile maritima
my_dataset_shortname:taxon:b1ea83b3a91fcf1adbab0b8040a3dac6,St. Marie de la Mer,FR,1,"Kadereit, J. W., Arafeh, R., Somogyi, G., & Westberg, E. (2005). Terrestrial Growth and Marine Dispersal? Comparative Phylogeography of Five Coastal Plant Species at a European Scale. Taxon, 54(4), 861–876.",http://dx.doi.org/10.2307/25065473,43.27,4.27,2005,1,my_language,my_license,my_rights_holder,my_dataset_doi,my_institution_code,my_dataset_title,Cakile maritima,Plantae,species,my_nomenclaturalCode,Cakile maritima
my_dataset_shortname:taxon:b1ea83b3a91fcf1adbab0b8040a3dac6,Champ du Tir,FR,1,"Kadereit, J. W., Arafeh, R., Somogyi, G., & Westberg, E. (2005). Terrestrial Growth and Marine Dispersal? Comparative Phylogeography of Five Coastal Plant Species at a European Scale. Taxon, 54(4), 861–876.",http://dx.doi.org/10.2307/25065473,47.49,-3.17,2005,1,my_language,my_license,my_rights_holder,my_dataset_doi,my_institution_code,my_dataset_title,Cakile maritima,Plantae,species,my_nomenclaturalCode,Cakile maritima
my_dataset_shortname:taxon:b1ea83b3a91fcf1adbab0b8040a3dac6,Le Crotoy,FR,1,"Kadereit, J. W., Arafeh, R., Somogyi, G., & Westberg, E. (2005). Terrestrial Growth and Marine Dispersal? Comparative Phylogeography of Five Coastal Plant Species at a European Scale. Taxon, 54(4), 861–876.",http://dx.doi.org/10.2307/25065473,50.14,1.37,2005,1,my_language,my_license,my_rights_holder,my_dataset_doi,my_institution_code,my_dataset_title,Cakile maritima,Plantae,species,my_nomenclaturalCode,Cakile maritima
